sp,and,gyn,pet,sep,tot
Linum_marginale,1.7e-4,7.1e-4,7.8e-4,0.00152,0.00318
Linum_sulcatum,1.25e-4,8.3e-5,1.53e-4,8.36e-4,0.001197
Janusia_guaranitica,7.7e-4,2.6e-4,0.0031,0.0037200000000000002,0.00785
Hiraea_psilophylla,8.9e-4,0.00137,0.00342,0.00272,0.0084
Elatine_alsinastrum,3.6e-5,1.18e-4,4.5e-5,5.8e-5,2.57e-4
Hypericum_gramineum,3e-5,1.9e-4,2.8e-4,6.5e-4,0.00115
Hypericum_connatum,6.3e-4,0.00107,0.00159,0.00138,0.00467
Hypericum_brasiliense,4.6e-4,3.8e-4,0.0018,8.9e-4,0.00353
Hypericum_perforatum,0.00282,0.00257,0.00481,0.00198,0.01218
Viola_betonicifolia,4e-4,8e-4,0.00235,8.5e-4,0.0044
Viola_biflora,4.88e-4,5.94e-4,0.001451,6.21e-4,0.003154
Viola_reichenbachiana,8.0909e-4,0.00149091,0.006,0.00165455,0.00995455
Viola_pedata,0.00223,0.00147,0.00909,0.00304,0.01583
Viola_banksii,4.2e-4,5.1e-4,0.0039,6.9e-4,0.00552
Hybanthus_bigibbosus,4.2e-4,3.3e-4,0.00191,6.4e-4,0.0033
Piriqueta_taubatensis,0.00385,0.00316,0.0101,0.00708,0.02419
Oxalis_stricta,1.6e-4,1.22e-4,2.89e-4,2.29e-4,8e-4
Oxalis_martiana,3.9e-4,3e-4,0.00135,5.9e-4,0.00263
Oxalis_niederleinii,2.2e-4,2.3e-4,6.9e-4,2.8e-4,0.00142
Oxalis_acetosella,3.9455e-4,5.0909e-4,0.00176818,3.3e-4,0.00300182
Oxalis_perennans,8e-5,2.2e-4,2.8e-4,1.6e-4,7.4e-4
Oxalis_corniculata,6.5e-5,7.3e-5,7.7e-5,1.2e-4,3.35e-4
Oxalis_sellowiana,5.4e-4,4.3e-4,0.00212,0.00133,0.00442
Tetratheca_ericifolia,0.00151,4.9e-4,0.00539,3e-4,0.00769
Elaeocarpus_reticulatus,0.00182,0.001856,0.00346,0.003342,0.010478
