sp,and,gyn,pet,sep,tot
Bauera_rubioides,0.00163000,0.00141000,0.00340000,0.00229000,0.00873000
Billardiera_mutabilis,0.00176000,0.00447000,0.01108000,0.00304000,0.02035000
Boronia_microphylla,0.00046000,0.00080000,0.00164000,0.00038000,0.00328000
Boronia_pinnata,0.00065000,0.00115000,0.00364000,0.00063000,0.00607000
Boronia_serrulata,0.00132000,0.00152000,0.00493000,0.00051000,0.00828000
Cakile_edentula,0.00130000,0.00054000,0.00102000,0.00088000,0.00374000
Callistemon_citrinus,0.01007778,0.00494444,0.00245556,0.00564444,0.02312222
Calytrix_tetragona,0.00037000,0.00087000,0.00069000,0.00062000,0.00255000
Comesperma_ericinum,0.00003000,0.00017000,0.00050000,0.00044000,0.00114000
Commelina_cyanea,0.00017500,0.00019000,0.00066786,0.00027929,0.00131214
Conospermum_tenuifolium,0.00014000,0.00029000,0.00049000,0.00018000,0.00110000
Dampiera_stricta,0.00008000,0.00076000,0.00492000,0.00025000,0.00601000
Dillwynia_retorta,0.00029000,0.00079000,0.00265000,0.00100000,0.00473000
Dracophyllum_secundum,0.00046000,0.00139000,0.00176000,0.00095000,0.00456000
Drosera_arcturi,0.00022000,0.00138000,0.00112000,0.00132000,0.00404000
Elaeocarpus_reticulatus,0.00182000,0.00185600,0.00346000,0.00334200,0.01047800
Epacris_glacialis,0.00025000,0.00040000,0.00172000,0.00071000,0.00308000
Epacris_longiflora,0.00077000,0.00085000,0.00337000,0.00077000,0.00576000
Epacris_microphylla,0.00010000,0.00017000,0.00044000,0.00018000,0.00089000
Epacris_obtusifolia,0.00026000,0.00119000,0.00292000,0.00147000,0.00584000
Epacris_reclinata,0.00051000,0.00108000,0.00338000,0.00094000,0.00591000
Epilobium_gunnianum,0.00031000,0.00283000,0.00144000,0.00053000,0.00511000
Euphrasia_collina,0.00140909,0.00093636,0.00353636,0.00197273,0.00785455
Euphrasia_sp,0.00046000,0.00042000,0.00173000,0.00046000,0.00307000
Geranium_potentilloides,0.00028000,0.00053000,0.00038000,0.00123000,0.00242000
Gompholobium_latifolium,0.01121000,0.01449000,0.04993000,0.01716000,0.09279000
Goodenia_bellidifolia,0.00072000,0.00170000,0.00432000,0.00186000,0.00860000
Hardenbergia_violacea,0.00018000,0.00035000,0.00201000,0.00036000,0.00290000
Hibbertia_dentata,0.00485000,0.00321000,0.00763000,0.01020000,0.02589000
Hibbertia_obtusifolia,0.00254000,0.00227000,0.00701000,0.00685000,0.01867000
Hibbertia_scandens,0.03141429,0.01510000,0.04120000,0.09735714,0.18507143
Hypericum_gramineum,0.00003000,0.00019000,0.00028000,0.00065000,0.00115000
Kennedia_rubicunda,0.00375000,0.00581000,0.01899000,0.00402000,0.03257000
Kunzea_capitata,0.00102000,0.00101000,0.00019000,0.00180000,0.00402000
Kunzea_ericifolia,0.00252000,0.00174000,0.00072000,0.00086000,0.00584000
Kunzea_muelleri,0.00139000,0.00110000,0.00035000,0.00146000,0.00430000
Leptospermum_laevigatum,0.00145000,0.00977000,0.00355000,0.00085000,0.01562000
Libertia_pulchella,0.00107000,0.00120000,0.00191000,0.00091000,0.00509000
Linum_marginale,0.00017000,0.00071000,0.00078000,0.00152000,0.00318000
Lysimachia_arvensis,0.00006000,0.00013000,0.00022000,0.00022000,0.00063000
Mirbelia_rubiifolia,0.00023000,0.00053000,0.00214000,0.00044000,0.00334000
