sp,showy_stamens,showy_sepals,tepals,inflorecence
Linum_marginale,,,,
Linum_sulcatum,,,,
Janusia_guaranitica,,,,
Hiraea_psilophylla,,,,
Elatine_alsinastrum,,,,
Hypericum_gramineum,,,,
Hypericum_connatum,,,,
Hypericum_brasiliense,,,,maybe
Hypericum_perforatum,,,,
Viola_betonicifolia,,,,
Viola_biflora,,,,
Viola_reichenbachiana,,,,
Viola_pedata,,,,
Viola_banksii,,,,
Hybanthus_bigibbosus,,,,
Piriqueta_taubatensis,,,,
Oxalis_stricta,,,,
Oxalis_martiana,,,,
Oxalis_niederleinii,,,,
Oxalis_sellowiana,,,,
Oxalis_perennans,,,,
Oxalis_acetosella,,,,
Oxalis_corniculata,,,,
Tetratheca_ericifolia,,maybe,,
Elaeocarpus_reticulatus,,,,
Bauera_rubioides,,maybe,,
Stackhousia_pulvinaris,,,,
Potentilla_crantzii,,,,
Potentilla_reptans,,,,
Fragaria_vesca,,,,
Agrimonia_eupatoria,,,,maybe
Agrimonia_pubescens,,,,
Rubus_caesius,,,,
Rubus_urticifolius,,,,
Filipendula_ulmaria,maybe,,,yes
Sorbus_aucuparia,,,,maybe
Prunus_spinosa,,,,
Prunus_padus,,,,
Trifolium_repens,,,,yes
Trifolium_medium,,,,yes
Trifolium_pratense,,,,yes
Medicago_sativa,,,,yes
Vicia_cracca,,,,
Lathyrus_venosus,,yes,,yes
Lathyrus_tuberosus,,maybe,,
Onobrychis_viciifolia,,,,yes
Lotus_corniculatus,,,,maybe
Lotus_alpinus,,,,
Anthyllis_vulneraria,,maybe,,yes
Securigera_varia,,,,maybe
Desmodium_canadense,,yes,,yes
Erythrina_crista-galli,,yes,,
Kennedia_rubicunda,,,,
Hardenbergia_violacea,,maybe,,
Gompholobium_latifolium,,,,
Pultenaea_flexilis,,,,
Mirbelia_rubiifolia,,,,
Platylobium_formosum,,,,
Dillwynia_retorta,,,,
Viminaria_juncea,,,,
Senna_occidentalis,,,,
Senna_neglecta,,,,
Cassia_nictitans,,,,
Bauhinia_forficata,,,,
Polygala_chamaebuxus,,,,
Comesperma_ericinum,,yes,,
Polygala_sanguinea,,yes,,
Cardiospermum_grandiflorum,maybe,,,
Guarea_macrophylla,,,,
Boronia_microphylla,,maybe,,
Boronia_pinnata,,maybe,,
Boronia_serrulata,,,,
Zieria_pilosa,,,,
Cakile_edentula,,,,
Alliaria_officinalis,,,,maybe
Iberis_amara,,,,yes
Hesperis_matronalis,,maybe,,
Cardaminopsis_arenosa,maybe,,,
Capsella_bursa-pastoris,maybe,,,
Cardamine_bulbifera,,,,
Barbarea_vulgaris,,,,maybe
Lepidium_virginicum,,,,maybe
Lepidium_draba,,,,yes
Hornungia_alpina,maybe,,,maybe
Polanisia_dodecandra,yes,yes,,
Daphne_mezereum,,,yes,
Tilia_cordata,yes,,,
Ceiba_speciosa,maybe,,,
Hibiscus_diversifolius,,,,
Pavonia_sepium,maybe,,,
Pavonia_friesii,maybe,,,
Pavonia_psilophylla,maybe,,,
Abutilon_theophrasti,,,,
Sida_rhombifolia,maybe,,,
Malva_neglecta,,,,
Malva_rotundifolia,,,,
Sidalcea_oregana,,,,
Helianthemum_nummularium,maybe,,,
Helianthemum_apenninum,yes,,,
Geranium_maculatum,,,,
Geranium_pratense,maybe,,,
Geranium_potentilloides,maybe,,,
Geranium_pyrenaicum,maybe,,,
Erodium_cicutarium,yes,,,
Leandra_australis,,,,
Leandra_camporum,,,,
Tibouchina_sellowiana,yes,,,
Tibouchina_gracilis,yes,,,
Tibouchina_clinopodifolia,maybe,,,
Callistemon_citrus,yes,,,yes
Syzygium_australe,yes ,,,
Calytrix_tetragona,,,,
Kunzea_ericifolia,yes,,,
Kunzea_muelleri,yes,,,
Kunzea_capitata,yes,,,
Leptospermum_laevigatum,,,,
Heimia_myrtifolia,maybe,,,
Lythrum_salicaria,,,,
Lythrum_maritimum,,,,
Cuphea_ramulosa,,,,
Ludwigia_leptocarpa,,,,
Ludwigia_elegans,,,,
Ludwigia_caparosa,,,,
Ludwigia_multinervia,,,,
Circaea_lutetiana,,,,
Fuchsia_regia,yes,yes,,
Epilobium_angustifolium,,yes,,
Epilobium_alpestre,,,,
Epilobium_gunnianum,,,,
Sedum_sexangulare,,,,
Sedum_album,,,,
Saxifraga_aizoides,,,,
Saxifraga_caesia,,,,
Saxifraga_rotundifolia,,,,
Saxifraga_stellaris,,,,
