Rank,Species,Flower,Androecium,Gynoecium,Petals,Sepals,maleness
1,Nymphaea_alba,0.72968,0.12443,0.18889,0.27019,0.14617,0.6587431838636243
2,Ceiba_speciosa,0.52841,0.07471,0.021329999999999998,0.29599,0.13638,3.502578527894984
3,Bauhinia_forficata,0.29861,0.04855,0.01934,0.11582,0.1149,2.5103412616339194
4,Gentiana_pannonica,0.20885333,0.0076,0.05571667,0.11823667,0.0273,0.13640441900063302
5,Hibbertia_scandens,0.18507143,0.03141429,0.0151,0.0412,0.09735714,2.0804165562913903
6,Erythrina_crista-galli,0.17936,0.02665,0.01039,0.10527,0.03705,2.5649663137632337
7,Hibiscus_diversifolius,0.17113,0.03054,0.01453,0.07147,0.05459,2.101858224363386
8,Digitalis_purpurea,0.11555,0.01255,0.02965,0.05589,0.01746,0.42327150084317033
9,Ipomoea_purpurea,0.09985,0.00796,0.00395,0.07547,0.01247,2.015189873417721
10,Gompholobium_latifolium,0.09279,0.01121,0.01449,0.04993,0.01716,0.7736369910282954
307,Lepidium_virginicum,8.3e-5,2.3e-5,1.3e-5,3.3e-5,1.4e-5,1.7692307692307694
306,Verbena_bracteata,1.52e-4,9e-6,1.4e-5,3.8e-5,9.1e-5,0.6428571428571429
305,Capsella_bursa-pastoris,1.74e-4,5.1e-5,3.9e-5,2e-5,6.4e-5,1.3076923076923077
304,Lycopus_virginicus,2.08e-4,2.2e-5,5.8e-5,5.4e-5,7.4e-5,0.3793103448275862
303,Lycopus_americanus,2.54e-4,3.4e-5,5.1e-5,7.7e-5,9.2e-5,0.6666666666666666
302,Elatine_alsinastrum,2.57e-4,3.6e-5,1.18e-4,4.5e-5,5.8e-5,0.3050847457627119
301,Polygala_sanguinea,3.18e-4,2e-5,4.2e-5,8.9e-5,1.67e-4,0.4761904761904763
300,Oxalis_corniculata,3.35e-4,6.5e-5,7.3e-5,7.7e-5,1.2e-4,0.8904109589041095
299,Hornungia_alpina,3.45e-4,7.7e-5,8.2e-5,1.22e-4,6.4e-5,0.9390243902439025
298,Mimulus_micranthus,3.48e-4,8e-6,5e-5,9e-5,2e-4,0.15999999999999998
