order,family,original_name,tpl_genus,tpl_name,tpl_authority,tpl_id
Alismatales,Alismataceae,Sagittaria_montevidensis,Sagittaria,Sagittaria montevidensis,Cham. & Schltdl.,kew-287438
Apiales,Pittosporaceae,Billardiera_mutabilis,Billardiera,Billardiera mutabilis,Salisb.,kew-2675986
Asparagales,Hypoxidaceae,Hypoxis_decumbens,Hypoxis,Hypoxis decumbens,L.,kew-278993
Asparagales,Iridaceae,Libertia_pulchella,Libertia,Libertia pulchella,(R.Br.) Spreng.,kew-323116
Asparagales,Iridaceae,Romulea_rosea,Romulea,Romulea rosea,(L.) Eckl.,kew-324514
Asparagales,Iridaceae,Sisyrinchium_campestre,Sisyrinchium,Sisyrinchium campestre,E.P.Bicknell,kew-324997
Asparagales,Iridaceae,Sisyrinchium_laxum,Sisyrinchium,Sisyrinchium laxum,Otto ex Sims,kew-325208
Asparagales,Iridaceae,Sisyrinchium_megapotamicum,Sisyrinchium,Sisyrinchium megapotamicum,Malme,kew-325039
Asparagales,Iridaceae,Sisyrinchium_platense,Sisyrinchium,Sisyrinchium platense,I.M.Johnst.,kew-325098
Asparagales,Orchidaceae,Epidendrum_fulgens,Epidendrum,Epidendrum fulgens,Brongn.,kew-68452
Asparagales,Orchidaceae,Habenaria_pleiophylla,Habenaria,Habenaria pleiophylla,Hoehne & Schltr.,kew-95371
Asterales,Campanulaceae,Campanula_rapunculoides,Campanula,Campanula rapunculoides,L.,kew-365789
Asterales,Campanulaceae,Campanula_rotundifolia,Campanula,Campanula rotundifolia,L.,kew-365918
Asterales,Campanulaceae,Campanula_trachelium,Campanula,Campanula trachelium,L.,kew-366545
Asterales,Campanulaceae,Legousia_speculum-veneris,Legousia,Legousia speculum-veneris,(L.) Durande ex Vill.,kew-358587
Asterales,Campanulaceae,Siphocampylus_verticillatus,Siphocampylus,Siphocampylus verticillatus,(Cham.) G.Don,kew-356779
Asterales,Goodeniaceae,Dampiera_stricta,Dampiera,Dampiera stricta,(Sm.) R.Br.,kew-2756712
Asterales,Goodeniaceae,Goodenia_bellidifolia,Goodenia,Goodenia bellidifolia,Sm.,kew-2830462
Asterales,Menyanthaceae,Nymphoides_indica,Nymphoides,Nymphoides indica,(L.) Kuntze,kew-2385097
Asterales,Menyanthaceae,Villarsia_reniformis,Ornduffia,Ornduffia reniformis,(R. Br.) Tippery & Les,tro-100368157
Boraginales,Boraginaceae,Cordia_trichotoma,Cordia,Cordia trichotoma,(Vell.) Arráb. ex Steud.,kew-2737306
Boraginales,Boraginaceae,Echium_vulgare,Echium,Echium vulgare,L.,kew-2784423
Boraginales,Boraginaceae,Hydrophyllum_virginianum,Hydrophyllum,Hydrophyllum virginianum,L.,tro-16200020
Boraginales,Boraginaceae,Lithospermum_canescens,Lithospermum,Lithospermum canescens,(Michx.) Lehm.,tro-4000037
Boraginales,Boraginaceae,Myosotis_nemorosa,Myosotis,Myosotis nemorosa,Besser,kew-2358116
Boraginales,Boraginaceae,Pulmonaria_officinalis,Pulmonaria,Pulmonaria officinalis,L.,kew-2413004
Boraginales,Boraginaceae,Symphytum_officinale,Symphytum,Symphytum officinale,L.,kew-2475636
Brassicales,Brassicaceae,Alliaria_officinalis,Alliaria,Alliaria petiolata,(M.Bieb.) Cavara & Grande,kew-2628680
Brassicales,Brassicaceae,Cardaminopsis_arenosa,Arabidopsis,Arabidopsis arenosa,(L.) Lawalrée,kew-2645201
Brassicales,Brassicaceae,Barbarea_vulgaris,Barbarea,Barbarea vulgaris,R.Br.,kew-2669712
Brassicales,Brassicaceae,Cakile_edentula,Cakile,Cakile edentula,(Bigelow) Hook.,kew-2690380
