species_removed,fit,model,n,R2,int,int.se,int.lo,int.hi,slo,slo.se,slo.lo,slo.hi,p_b1
showy stamens,Male ~ Flower,SMA,239,0.8307856997966271,-0.6533519206839564,NA,-0.7946865176501015,-0.5120173237178114,1.1081953994220108,NA,1.0513943197246567,1.168065130522799,1.5112899942693048e-4
showy stamens,Female ~ Flower,SMA,239,0.816474223061357,-0.700602615514978,NA,-0.8389517581793974,-0.5622534728505587,1.0415047224741711,NA,0.9859723900826524,1.1001647691626224,0.14512589076984805
showy stamens,Petals ~ Flower,SMA,239,0.9176784438257842,-0.15692857122051285,NA,-0.2550618048650305,-0.05879533757599521,1.103952007767481,NA,1.0641632650892463,1.1452284395023207,2.45994161596208e-7
showy stamens,Sepals ~ Flower,SMA,239,0.825713432607898,-0.6396922328327066,NA,-0.7719287001966394,-0.5074557654687738,1.0216142866665627,NA,0.9684932773756378,1.0776489368613595,0.43112578786760414
showy sepals,Male ~ Flower,SMA,271,0.8421492946216688,-0.6817399379743545,NA,-0.8059517622242507,-0.5575281137244583,1.0846242248921028,NA,1.0341282176421336,1.1375859290495622,9.013006043876448e-4
showy sepals,Female ~ Flower,SMA,271,0.8379333519908676,-0.7196716913118864,NA,-0.8391551624073763,-0.6001882202163964,1.0296349071870774,NA,0.9810787806485293,1.080594202024576,0.23510569016023475
showy sepals,Petals ~ Flower,SMA,271,0.8997802361363799,-0.16681981332170226,NA,-0.26840214199528545,-0.0652374846481191,1.1138084303003017,NA,1.0722853957099214,1.1569393972643691,5.426901195093592e-8
showy sepals,Sepals ~ Flower,SMA,271,0.8516686619465815,-0.6197538362679467,NA,-0.7333727966920647,-0.5061348758438287,1.0235590330582511,NA,0.9773307199688346,1.0719739723197799,0.3222241688758197
tepals,Male ~ Flower,SMA,289,0.8434006056997249,-0.6499822058195379,NA,-0.77073320229372,-0.5292312093453558,1.0979833980855398,NA,1.048661658851095,1.1496248883479523,7.826277913935975e-5
tepals,Female ~ Flower,SMA,289,0.8229869124127375,-0.7343424305078412,NA,-0.854676162874892,-0.6140086981407904,1.028965779155255,NA,0.9798968959249778,1.080491814062897,0.2511345042942591
tepals,Petals ~ Flower,SMA,289,0.897460726976214,-0.17090004221273736,NA,-0.2697616835815988,-0.07203840084387589,1.1114648785414698,NA,1.070883075251914,1.1535845553825752,4.9808302371445734e-8
tepals,Sepals ~ Flower,SMA,289,0.8438870664959883,-0.6170949043735345,NA,-0.7296014608394292,-0.5045883479076398,1.0246143958660747,NA,0.9786582790873786,1.0727285331862684,0.2979612276900353
inflorescence,Male ~ Flower,SMA,270,0.8543012297179072,-0.5960340676408533,NA,-0.7182572167646757,-0.47381091851703094,1.129345845501757,NA,1.078690884338346,1.1823795466060736,3.423378560629686e-7
inflorescence,Female ~ Flower,SMA,270,0.8248441201088781,-0.7338392573538246,NA,-0.8557960650354944,-0.6118824496721548,1.027476613934452,NA,0.9770606511606237,1.0804940214593228,0.28991466378002784
inflorescence,Petals ~ Flower,SMA,270,0.8933318190391832,-0.19833946965692384,NA,-0.3002985707931831,-0.09638036852066457,1.1014556810216216,NA,1.0590406356682898,1.1455694676807482,2.084132509017067e-6
inflorescence,Sepals ~ Flower,SMA,270,0.8513626611192261,-0.6209268097380036,NA,-0.7323282916597689,-0.5095253278162384,1.0190989107753736,NA,0.9729411043555249,1.067446513765595,0.4224646460641792
