"","and.p","gyn.p","sep.p","pet.p","sp"
"Linum_marginale",0.0534591194968553,0.223270440251572,0.477987421383648,0.245283018867925,"Linum_marginale"
"Linum_sulcatum",0.104427736006683,0.0693400167084378,0.698412698412698,0.12781954887218,"Linum_sulcatum"
"Janusia_guaranitica",0.0980891719745223,0.0331210191082803,0.473885350318471,0.394904458598726,"Janusia_guaranitica"
"Hiraea_psilophylla",0.105952380952381,0.163095238095238,0.323809523809524,0.407142857142857,"Hiraea_psilophylla"
"Elatine_alsinastrum",0.140077821011673,0.459143968871595,0.22568093385214,0.175097276264591,"Elatine_alsinastrum"
"Hypericum_gramineum",0.0260869565217391,0.165217391304348,0.565217391304348,0.243478260869565,"Hypericum_gramineum"
"Hypericum_connatum",0.134903640256959,0.229122055674518,0.295503211991435,0.340471092077088,"Hypericum_connatum"
"Hypericum_brasiliense",0.130311614730878,0.107648725212465,0.252124645892351,0.509915014164306,"Hypericum_brasiliense"
"Hypericum_perforatum",0.231527093596059,0.211001642036125,0.16256157635468,0.394909688013136,"Hypericum_perforatum"
"Viola_betonicifolia",0.0909090909090909,0.181818181818182,0.193181818181818,0.534090909090909,"Viola_betonicifolia"
"Viola_biflora",0.154724159797083,0.188332276474318,0.196892834495878,0.46005072923272,"Viola_biflora"
"Viola_reichenbachiana",0.0812784103751551,0.149771712433008,0.166210426387933,0.602739450803904,"Viola_reichenbachiana"
"Viola_pedata",0.140871762476311,0.0928616550852811,0.192040429564119,0.574226152874289,"Viola_pedata"
"Viola_banksii",0.0760869565217391,0.0923913043478261,0.125,0.706521739130435,"Viola_banksii"
"Hybanthus_bigibbosus",0.127272727272727,0.1,0.193939393939394,0.578787878787879,"Hybanthus_bigibbosus"
"Piriqueta_taubatensis",0.159156676312526,0.130632492765606,0.292682926829268,0.4175279040926,"Piriqueta_taubatensis"
"Oxalis_stricta",0.2,0.1525,0.28625,0.36125,"Oxalis_stricta"
"Oxalis_martiana",0.14828897338403,0.114068441064639,0.224334600760456,0.513307984790875,"Oxalis_martiana"
"Oxalis_niederleinii",0.154929577464789,0.161971830985915,0.197183098591549,0.485915492957746,"Oxalis_niederleinii"
"Oxalis_acetosella",0.13143692826352,0.169593779773604,0.10993330712701,0.589035984835866,"Oxalis_acetosella"
"Oxalis_corniculata",0.194029850746269,0.217910447761194,0.358208955223881,0.229850746268657,"Oxalis_corniculata"
"Oxalis_perennans",0.108108108108108,0.297297297297297,0.216216216216216,0.378378378378378,"Oxalis_perennans"
"Oxalis_sellowiana",0.122171945701357,0.0972850678733032,0.300904977375566,0.479638009049774,"Oxalis_sellowiana"
"Tetratheca_ericifolia",0.196358907672302,0.0637191157347204,0.0390117035110533,0.700910273081925,"Tetratheca_ericifolia"
"Elaeocarpus_reticulatus",0.173697270471464,0.177133040656614,0.318953998854743,0.330215690017179,"Elaeocarpus_reticulatus"
"Bauera_rubioides",0.186712485681558,0.161512027491409,0.262313860252005,0.389461626575029,"Bauera_rubioides"
"Stackhousia_pulvinaris",0.0609756097560976,0.164634146341463,0.0609756097560976,0.713414634146342,"Stackhousia_pulvinaris"
"Potentilla_crantzii",0.100409836065574,0.211065573770492,0.342213114754098,0.346311475409836,"Potentilla_crantzii"
"Potentilla_reptans",0.0938230383973289,0.32220367278798,0.367946577629382,0.216026711185309,"Potentilla_reptans"
"Fragaria_vesca",0.149352147967426,0.253316189157408,0.341740573450705,0.255591089424461,"Fragaria_vesca"
"Agrimonia_eupatoria",0.112573099415205,0.480506822612086,0.165204678362573,0.241715399610136,"Agrimonia_eupatoria"
"Agrimonia_pubescens",0.116200169635284,0.0551314673452078,0.688295165394402,0.140373197625106,"Agrimonia_pubescens"
"Rubus_caesius",0.296313735071819,0.12224289424099,0.294076575831384,0.287366794855806,"Rubus_caesius"
"Rubus_urticifolius",0.116580310880829,0.341968911917098,0.274611398963731,0.266839378238342,"Rubus_urticifolius"
"Filipendula_ulmaria",0.4,0.176,0.184,0.24,"Filipendula_ulmaria"
"Sorbus_aucuparia",0.240130550830464,0.261002088260106,0.270555532506327,0.228311828403103,"Sorbus_aucuparia"
"Prunus_spinosa",0.222989214451027,0.383427606358738,0.0987007300574574,0.294882449132778,"Prunus_spinosa"
"Prunus_padus",0.147277389277389,0.457300699300699,0.0974778554778555,0.297944055944056,"Prunus_padus"
"Trifolium_repens",0.173680369739723,0.0756506932619801,0.300656774507419,0.450012162490878,"Trifolium_repens"
"Trifolium_medium",0.150803567581542,0.0603214270326167,0.297686242405963,0.491188762979879,"Trifolium_medium"
"Trifolium_pratense",0.192746113989637,0.181347150259067,0.206217616580311,0.419689119170984,"Trifolium_pratense"
"Medicago_sativa",0.1953125,0.11328125,0.13671875,0.5546875,"Medicago_sativa"
"Vicia_cracca",0.168859592390039,0.141111277829806,0.147692642014146,0.542331313737563,"Vicia_cracca"
"Lathyrus_venosus",0.236225779275484,0.222577927548441,0.239427127211457,0.301769165964617,"Lathyrus_venosus"
"Lathyrus_tuberosus",0.115653040877368,0.10568295114656,0.100697906281157,0.677966101694915,"Lathyrus_tuberosus"
"Onobrychis_viciifolia",0.137820512820513,0.0384615384615385,0.30448717948718,0.519230769230769,"Onobrychis_viciifolia"
"Lotus_corniculatus",0.10924337970477,0.141175990113612,0.184873644516579,0.564705473059743,"Lotus_corniculatus"
